gene,sexA,sexB,rank,type,statusA,statusB,lePathA,lePathB,exclu,pval,ncols,leA,leB,typePair
ABI3BP,12_0,20_7,17,alternative_end,no,alt,0,23,FALSE,3.5e-24,12,17,17,UNREL
ABI3BP,12_0,20_7,18,alternative,no,alt,0,4,FALSE,3.5e-24,12,17,17,UNREL
ABI3BP,13_0,20_7,11,deletion,can,no,9,0,FALSE,8.6e-24,12,43,17,No
ABI3BP,13_0,20_7,13,deletion,can,no,10,0,FALSE,8.6e-24,12,43,17,No
ABI3BP,13_0,20_7,17,alternative_end,no,alt,0,23,FALSE,8.6e-24,12,43,17,UNREL
ABI3BP,13_0,20_7,18,alternative,no,alt,0,4,FALSE,8.6e-24,12,43,17,UNREL
ABI3BP,14_0,20_7,17,alternative_end,can,alt,20,23,FALSE,1.1e-23,15,36,17,ALT
ABI3BP,14_0,20_7,18,alternative,no,alt,0,4,FALSE,1.1e-23,15,36,17,No
ABI3BP,15_0,20_7,17,alternative_end,can,alt,20,23,FALSE,3.5e-23,15,38,17,ALT
ABI3BP,15_0,20_7,18,alternative,no,alt,0,4,FALSE,3.5e-23,15,38,17,No
ABI3BP,17_0,20_7,11,deletion,can,no,9,0,FALSE,1.5e-23,13,25,17,No
ABI3BP,17_0,20_7,13,deletion,can,no,10,0,FALSE,1.5e-23,13,25,17,No
ABI3BP,17_0,20_7,18,alternative,can,alt,2,4,FALSE,1.5e-23,13,25,17,ALT
ABI3BP,17_0,20_7,19,deletion,can,no,2,0,FALSE,1.5e-23,13,25,17,No
ABI3BP,17_0,20_7,17,alternative_end,no,alt,0,23,FALSE,1.5e-23,13,25,17,No
ABI3BP,17_1,20_7,17,alternative_end,no,alt,0,23,FALSE,5.5e-24,14,26,17,No
ABI3BP,17_1,20_7,18,alternative,no,alt,0,4,FALSE,5.5e-24,14,26,17,No
ABI3BP,17_2,20_7,17,alternative_end,no,alt,0,23,FALSE,7.6e-24,12,26,17,No
ABI3BP,17_2,20_7,18,alternative,no,alt,0,4,FALSE,7.6e-24,12,26,17,No
ABI3BP,17_3,20_7,17,alternative_end,can,alt,20,23,FALSE,8.3e-24,14,29,17,ALT
ABI3BP,17_3,20_7,18,alternative,no,alt,0,4,FALSE,8.3e-24,14,29,17,No
ABI3BP,18_0,20_7,1,deletion,can,no,2,0,FALSE,9.7e-24,14,25,17,No
ABI3BP,18_0,20_7,11,deletion,can,no,9,0,FALSE,9.7e-24,14,25,17,No
ABI3BP,18_0,20_7,13,deletion,can,no,10,0,FALSE,9.7e-24,14,25,17,No
ABI3BP,18_0,20_7,17,alternative_end,no,alt,0,23,FALSE,9.7e-24,14,25,17,UNREL
ABI3BP,18_0,20_7,18,alternative,no,alt,0,4,FALSE,9.7e-24,14,25,17,UNREL
ABI3BP,19_0,20_7,17,alternative_end,can,alt,20,23,FALSE,1.3e-23,7,37,17,ALT
ABI3BP,19_0,20_7,18,alternative,no,alt,0,4,FALSE,1.3e-23,7,37,17,No
ABI3BP,19_0,2_0,17,alternative_end,can,no,20,0,FALSE,0.00011,35,37,73,UNREL
ABI3BP,1_0,20_7,17,alternative_end,can,alt,20,23,FALSE,5.2e-24,14,101,17,ALT
ABI3BP,1_0,20_7,18,alternative,no,alt,0,4,FALSE,5.2e-24,14,101,17,No
ABI3BP,20_1,20_7,11,deletion,can,no,9,0,FALSE,1.9e-23,10,26,17,No
ABI3BP,20_1,20_7,13,deletion,can,no,10,0,FALSE,1.9e-23,10,26,17,No
ABI3BP,20_1,20_7,17,alternative_end,no,alt,0,23,FALSE,1.9e-23,10,26,17,UNREL
ABI3BP,20_1,20_7,18,alternative,no,alt,0,4,FALSE,1.9e-23,10,26,17,UNREL
ABI3BP,20_10,20_19,17,alternative_end,alt,alt,23,23,FALSE,0.00066,17,17,21,No
ABI3BP,20_10,20_31,17,alternative_end,alt,can,23,20,FALSE,6.8e-05,17,17,17,ALT
ABI3BP,20_10,20_31,2,deletion,no,can,0,1,FALSE,6.8e-05,17,17,17,No
ABI3BP,20_10,20_31,3,deletion,no,can,0,2,FALSE,6.8e-05,17,17,17,No
ABI3BP,20_10,20_7,17,alternative_end,alt,alt,23,23,FALSE,1.5e-24,16,17,17,No
ABI3BP,20_10,20_7,18,alternative,no,alt,0,4,FALSE,1.5e-24,16,17,17,No
ABI3BP,20_10,25_3,17,alternative_end,alt,no,23,0,FALSE,0.00015,17,17,21,No
ABI3BP,20_10,25_8,17,alternative_end,alt,no,23,0,FALSE,0.00068,17,17,20,No
ABI3BP,20_11,20_13,17,alternative_end,alt,alt,23,23,FALSE,1.8e-08,30,30,31,No
ABI3BP,20_11,20_16,17,alternative_end,alt,no,23,0,FALSE,2.1e-08,28,30,28,No
ABI3BP,20_11,20_18,17,alternative_end,alt,alt,23,23,FALSE,1.5e-08,28,30,29,No
ABI3BP,20_11,20_20,17,alternative_end,alt,alt,23,23,FALSE,3.4e-09,28,30,29,No
ABI3BP,20_11,20_22,17,alternative_end,alt,alt,23,23,FALSE,3.1e-11,28,30,29,No
ABI3BP,20_11,20_24,17,alternative_end,alt,alt,23,23,FALSE,2e-08,27,30,28,No
ABI3BP,20_11,20_6,17,alternative_end,alt,alt,23,23,FALSE,1.9e-06,29,30,30,No
ABI3BP,20_11,20_6,18,alternative,no,alt,0,4,FALSE,1.9e-06,29,30,30,No
ABI3BP,20_11,20_8,17,alternative_end,alt,alt,23,23,FALSE,8.7e-05,21,30,22,No
ABI3BP,20_11,20_8,18,alternative,no,alt,0,4,FALSE,8.7e-05,21,30,22,No
ABI3BP,20_12,20_7,17,alternative_end,alt,alt,23,23,FALSE,7.2e-24,11,13,17,No
ABI3BP,20_12,20_7,18,alternative,no,alt,0,4,FALSE,7.2e-24,11,13,17,No
ABI3BP,20_13,20_16,17,alternative_end,alt,no,23,0,FALSE,3.4e-08,28,31,28,No
ABI3BP,20_13,20_18,17,alternative_end,alt,alt,23,23,FALSE,8.2e-09,28,31,29,No
ABI3BP,20_13,20_20,17,alternative_end,alt,alt,23,23,FALSE,3.9e-08,28,31,29,No
ABI3BP,20_13,20_22,17,alternative_end,alt,alt,23,23,FALSE,2.5e-11,28,31,29,No
ABI3BP,20_13,20_24,17,alternative_end,alt,alt,23,23,FALSE,2.1e-08,27,31,28,No
ABI3BP,20_13,20_28,17,alternative_end,alt,can,23,20,FALSE,0.00013,24,31,24,ALT
ABI3BP,20_13,20_29,17,alternative_end,alt,can,23,20,FALSE,0.00044,25,31,26,ALT
ABI3BP,20_13,20_6,17,alternative_end,alt,alt,23,23,FALSE,5.3e-07,29,31,30,No
ABI3BP,20_13,20_6,18,alternative,no,alt,0,4,FALSE,5.3e-07,29,31,30,No
ABI3BP,20_13,20_7,17,alternative_end,alt,alt,23,23,FALSE,2.8e-24,15,31,17,No
ABI3BP,20_13,20_7,18,alternative,no,alt,0,4,FALSE,2.8e-24,15,31,17,No
ABI3BP,20_13,20_8,17,alternative_end,alt,alt,23,23,FALSE,0.00025,21,31,22,No
ABI3BP,20_13,20_8,18,alternative,no,alt,0,4,FALSE,0.00025,21,31,22,No
ABI3BP,20_13,20_9,17,alternative_end,alt,alt,23,23,FALSE,0.00072,25,31,26,No
ABI3BP,20_14,20_17,17,alternative_end,alt,no,23,0,FALSE,1.8e-05,16,16,21,No
ABI3BP,20_14,20_19,17,alternative_end,alt,alt,23,23,FALSE,0.00013,16,16,21,No
ABI3BP,20_14,20_23,17,alternative_end,alt,no,23,0,FALSE,2.4e-05,16,16,22,No
ABI3BP,20_14,20_26,17,alternative_end,alt,no,23,0,FALSE,6e-05,16,16,21,No
ABI3BP,20_14,20_7,17,alternative_end,alt,alt,23,23,FALSE,5.8e-25,13,16,17,No
ABI3BP,20_14,20_7,18,alternative,no,alt,0,4,FALSE,5.8e-25,13,16,17,No
ABI3BP,20_14,25_1,17,alternative_end,alt,alt,23,23,FALSE,0.00025,16,16,21,No
ABI3BP,20_14,25_3,17,alternative_end,alt,no,23,0,FALSE,1e-05,16,16,21,No
ABI3BP,20_14,25_5,17,alternative_end,alt,alt,23,23,FALSE,0.00016,15,16,19,No
ABI3BP,20_16,20_18,17,alternative_end,no,alt,0,23,FALSE,6.3e-08,28,28,29,No
ABI3BP,20_16,20_20,17,alternative_end,no,alt,0,23,FALSE,1.6e-07,28,28,29,No
ABI3BP,20_16,20_22,17,alternative_end,no,alt,0,23,FALSE,2.8e-10,28,28,29,No
ABI3BP,20_16,20_24,17,alternative_end,no,alt,0,23,FALSE,7.4e-08,27,28,28,No
ABI3BP,20_16,20_29,17,alternative_end,no,can,0,20,FALSE,3.4e-05,25,28,26,No
ABI3BP,20_16,20_6,17,alternative_end,no,alt,0,23,FALSE,1.8e-05,28,28,30,No
ABI3BP,20_16,20_6,18,alternative,no,alt,0,4,FALSE,1.8e-05,28,28,30,No
ABI3BP,20_17,20_19,17,alternative_end,no,alt,0,23,FALSE,0.00013,21,21,21,No
ABI3BP,20_17,20_7,17,alternative_end,no,alt,0,23,FALSE,2.1e-24,13,21,17,No
ABI3BP,20_17,20_7,18,alternative,no,alt,0,4,FALSE,2.1e-24,13,21,17,No
ABI3BP,20_17,25_1,17,alternative_end,no,alt,0,23,FALSE,0.00036,21,21,21,No
ABI3BP,20_17,25_2,17,alternative_end,no,alt,0,23,FALSE,5.9e-06,20,21,20,No
ABI3BP,20_18,20_20,17,alternative_end,alt,alt,23,23,FALSE,1.2e-10,29,29,29,No
ABI3BP,20_18,20_22,17,alternative_end,alt,alt,23,23,FALSE,6e-11,29,29,29,No
ABI3BP,20_18,20_24,17,alternative_end,alt,alt,23,23,FALSE,2.6e-08,28,29,28,No
ABI3BP,20_18,20_6,17,alternative_end,alt,alt,23,23,FALSE,5.5e-08,29,29,30,No
ABI3BP,20_18,20_6,18,alternative,no,alt,0,4,FALSE,5.5e-08,29,29,30,No
ABI3BP,20_18,20_7,17,alternative_end,alt,alt,23,23,FALSE,5.4e-24,15,29,17,No
ABI3BP,20_18,20_7,18,alternative,no,alt,0,4,FALSE,5.4e-24,15,29,17,No
ABI3BP,20_19,20_23,17,alternative_end,alt,no,23,0,FALSE,3.1e-05,20,21,22,No
ABI3BP,20_19,20_26,17,alternative_end,alt,no,23,0,FALSE,6.5e-05,21,21,21,No
ABI3BP,20_19,20_31,17,alternative_end,alt,can,23,20,FALSE,4e-04,17,21,17,ALT
ABI3BP,20_19,20_31,2,deletion,no,can,0,1,FALSE,4e-04,17,21,17,No
ABI3BP,20_19,20_31,3,deletion,no,can,0,2,FALSE,4e-04,17,21,17,No
ABI3BP,20_19,20_7,17,alternative_end,alt,alt,23,23,FALSE,5.6e-26,16,21,17,No
ABI3BP,20_19,20_7,18,alternative,no,alt,0,4,FALSE,5.6e-26,16,21,17,No
ABI3BP,20_19,25_1,17,alternative_end,alt,alt,23,23,FALSE,5.3e-06,21,21,21,No
ABI3BP,20_19,25_3,17,alternative_end,alt,no,23,0,FALSE,2.8e-06,21,21,21,No
ABI3BP,20_19,25_4,17,alternative_end,alt,alt,23,23,FALSE,2.5e-05,21,21,21,No
ABI3BP,20_19,25_5,17,alternative_end,alt,alt,23,23,FALSE,0.00023,19,21,19,No
ABI3BP,20_19,25_7,17,alternative_end,alt,alt,23,23,FALSE,0.00033,17,21,17,No
ABI3BP,20_2,20_4,11,deletion,can,can,9,9,FALSE,0.00025,26,26,28,No
ABI3BP,20_2,20_4,13,deletion,can,can,10,10,FALSE,0.00025,26,26,28,No
ABI3BP,20_2,20_4,18,alternative,no,can,0,2,FALSE,0.00025,26,26,28,UNREL
ABI3BP,20_2,20_4,19,deletion,no,can,0,2,FALSE,0.00025,26,26,28,UNREL
ABI3BP,20_2,20_7,11,deletion,can,no,9,0,FALSE,3.8e-24,14,26,17,No
ABI3BP,20_2,20_7,13,deletion,can,no,10,0,FALSE,3.8e-24,14,26,17,No
ABI3BP,20_2,20_7,17,alternative_end,no,alt,0,23,FALSE,3.8e-24,14,26,17,UNREL
ABI3BP,20_2,20_7,18,alternative,no,alt,0,4,FALSE,3.8e-24,14,26,17,UNREL
ABI3BP,20_20,20_22,17,alternative_end,alt,alt,23,23,FALSE,3.3e-11,29,29,29,No
ABI3BP,20_20,20_24,17,alternative_end,alt,alt,23,23,FALSE,6.4e-09,28,29,28,No
ABI3BP,20_20,20_6,17,alternative_end,alt,alt,23,23,FALSE,5.2e-08,29,29,30,No
ABI3BP,20_20,20_6,18,alternative,no,alt,0,4,FALSE,5.2e-08,29,29,30,No
ABI3BP,20_20,20_7,17,alternative_end,alt,alt,23,23,FALSE,6.2e-24,15,29,17,No
ABI3BP,20_20,20_7,18,alternative,no,alt,0,4,FALSE,6.2e-24,15,29,17,No
ABI3BP,20_20,20_8,17,alternative_end,alt,alt,23,23,FALSE,6e-04,22,29,22,No
ABI3BP,20_20,20_8,18,alternative,no,alt,0,4,FALSE,6e-04,22,29,22,No
ABI3BP,20_22,20_24,17,alternative_end,alt,alt,23,23,FALSE,4.1e-10,28,29,28,No
ABI3BP,20_22,20_29,17,alternative_end,alt,can,23,20,FALSE,0.00027,26,29,26,ALT
ABI3BP,20_22,20_6,17,alternative_end,alt,alt,23,23,FALSE,5.9e-08,29,29,30,No
ABI3BP,20_22,20_6,18,alternative,no,alt,0,4,FALSE,5.9e-08,29,29,30,No
ABI3BP,20_22,20_7,17,alternative_end,alt,alt,23,23,FALSE,6.3e-24,15,29,17,No
ABI3BP,20_22,20_7,18,alternative,no,alt,0,4,FALSE,6.3e-24,15,29,17,No
ABI3BP,20_22,20_8,17,alternative_end,alt,alt,23,23,FALSE,0.00091,22,29,22,No
ABI3BP,20_22,20_8,18,alternative,no,alt,0,4,FALSE,0.00091,22,29,22,No
ABI3BP,20_22,20_9,17,alternative_end,alt,alt,23,23,FALSE,0.00068,26,29,26,No
ABI3BP,20_23,20_31,2,deletion,no,can,0,1,FALSE,9e-04,17,22,17,No
ABI3BP,20_23,20_31,3,deletion,no,can,0,2,FALSE,9e-04,17,22,17,No
ABI3BP,20_23,20_31,17,alternative_end,no,can,0,20,FALSE,9e-04,17,22,17,No
ABI3BP,20_23,20_7,17,alternative_end,no,alt,0,23,FALSE,5.6e-25,11,22,17,No
ABI3BP,20_23,20_7,18,alternative,no,alt,0,4,FALSE,5.6e-25,11,22,17,No
ABI3BP,20_23,25_1,17,alternative_end,no,alt,0,23,FALSE,3.5e-06,20,22,21,No
ABI3BP,20_23,25_4,17,alternative_end,no,alt,0,23,FALSE,0.00041,21,22,21,No
ABI3BP,20_23,25_5,17,alternative_end,no,alt,0,23,FALSE,2.2e-09,19,22,19,No
ABI3BP,20_23,25_7,17,alternative_end,no,alt,0,23,FALSE,0.00013,16,22,17,No
ABI3BP,20_24,20_6,17,alternative_end,alt,alt,23,23,FALSE,2e-07,28,28,30,No
ABI3BP,20_24,20_6,18,alternative,no,alt,0,4,FALSE,2e-07,28,28,30,No
ABI3BP,20_24,20_8,17,alternative_end,alt,alt,23,23,FALSE,0.00055,22,28,22,No
ABI3BP,20_24,20_8,18,alternative,no,alt,0,4,FALSE,0.00055,22,28,22,No
ABI3BP,20_26,20_7,17,alternative_end,no,alt,0,23,FALSE,9.8e-24,16,21,17,No
ABI3BP,20_26,20_7,18,alternative,no,alt,0,4,FALSE,9.8e-24,16,21,17,No
ABI3BP,20_26,25_1,17,alternative_end,no,alt,0,23,FALSE,3.1e-05,21,21,21,No
ABI3BP,20_26,25_7,17,alternative_end,no,alt,0,23,FALSE,0.00014,17,21,17,No
ABI3BP,20_29,20_4,17,alternative_end,can,anc,20,0,FALSE,0.00016,26,26,28,REL
ABI3BP,20_29,20_4,11,deletion,no,can,0,9,FALSE,0.00016,26,26,28,No
ABI3BP,20_29,20_4,13,deletion,no,can,0,10,FALSE,0.00016,26,26,28,No
ABI3BP,20_29,20_4,18,alternative,no,can,0,2,FALSE,0.00016,26,26,28,No
ABI3BP,20_29,20_4,19,deletion,no,can,0,2,FALSE,0.00016,26,26,28,No
ABI3BP,20_29,20_7,17,alternative_end,can,alt,20,23,FALSE,3.8e-24,10,26,17,ALT
ABI3BP,20_29,20_7,18,alternative,no,alt,0,4,FALSE,3.8e-24,10,26,17,No
ABI3BP,20_3,20_7,11,deletion,can,no,9,0,FALSE,2.4e-23,14,26,17,No
ABI3BP,20_3,20_7,13,deletion,can,no,10,0,FALSE,2.4e-23,14,26,17,No
ABI3BP,20_3,20_7,17,alternative_end,no,alt,0,23,FALSE,2.4e-23,14,26,17,No
ABI3BP,20_3,20_7,18,alternative,anc,alt,0,4,FALSE,2.4e-23,14,26,17,REL
ABI3BP,20_31,20_7,2,deletion,can,no,1,0,FALSE,8.8e-25,16,17,17,No
ABI3BP,20_31,20_7,3,deletion,can,no,2,0,FALSE,8.8e-25,16,17,17,No
ABI3BP,20_31,20_7,17,alternative_end,can,alt,20,23,FALSE,8.8e-25,16,17,17,ALT
ABI3BP,20_31,20_7,18,alternative,no,alt,0,4,FALSE,8.8e-25,16,17,17,No
ABI3BP,20_31,25_3,2,deletion,can,no,1,0,FALSE,3.4e-05,17,17,21,No
ABI3BP,20_31,25_3,3,deletion,can,no,2,0,FALSE,3.4e-05,17,17,21,No
ABI3BP,20_31,25_3,17,alternative_end,can,no,20,0,FALSE,3.4e-05,17,17,21,No
ABI3BP,20_31,25_7,2,deletion,can,no,1,0,FALSE,2.8e-05,17,17,17,No
ABI3BP,20_31,25_7,3,deletion,can,no,2,0,FALSE,2.8e-05,17,17,17,No
ABI3BP,20_31,25_7,17,alternative_end,can,alt,20,23,FALSE,2.8e-05,17,17,17,ALT
ABI3BP,20_31,25_8,2,deletion,can,no,1,0,FALSE,0.00027,17,17,20,No
ABI3BP,20_31,25_8,3,deletion,can,no,2,0,FALSE,0.00027,17,17,20,No
ABI3BP,20_31,25_8,17,alternative_end,can,no,20,0,FALSE,0.00027,17,17,20,No
ABI3BP,20_32,20_7,4,deletion,can,no,1,0,FALSE,8.3e-24,16,26,17,No
ABI3BP,20_32,20_7,17,alternative_end,can,alt,20,23,FALSE,8.3e-24,16,26,17,ALT
ABI3BP,20_32,20_7,18,alternative,no,alt,0,4,FALSE,8.3e-24,16,26,17,No
ABI3BP,20_33,20_7,17,alternative_end,can,alt,20,23,FALSE,1.9e-23,5,11,17,ALT
ABI3BP,20_33,20_7,18,alternative,no,alt,0,4,FALSE,1.9e-23,5,11,17,No
ABI3BP,20_4,20_7,11,deletion,can,no,9,0,FALSE,7.8e-24,14,28,17,No
ABI3BP,20_4,20_7,13,deletion,can,no,10,0,FALSE,7.8e-24,14,28,17,No
ABI3BP,20_4,20_7,18,alternative,can,alt,2,4,FALSE,7.8e-24,14,28,17,ALT
ABI3BP,20_4,20_7,19,deletion,can,no,2,0,FALSE,7.8e-24,14,28,17,No
ABI3BP,20_4,20_7,17,alternative_end,anc,alt,0,23,FALSE,7.8e-24,14,28,17,No
ABI3BP,20_5,20_7,17,alternative_end,alt,alt,23,23,FALSE,2e-24,14,15,17,No
ABI3BP,20_5,20_7,18,alternative,no,alt,0,4,FALSE,2e-24,14,15,17,No
ABI3BP,20_6,20_7,17,alternative_end,alt,alt,23,23,FALSE,4e-24,15,30,17,No
ABI3BP,20_6,20_7,18,alternative,alt,alt,4,4,FALSE,4e-24,15,30,17,No
ABI3BP,20_6,20_8,17,alternative_end,alt,alt,23,23,FALSE,0.00019,22,30,22,No
ABI3BP,20_6,20_8,18,alternative,alt,alt,4,4,FALSE,0.00019,22,30,22,No
ABI3BP,20_7,20_8,17,alternative_end,alt,alt,23,23,FALSE,1.7e-23,10,17,22,No
ABI3BP,20_7,20_8,18,alternative,alt,alt,4,4,FALSE,1.7e-23,10,17,22,No
ABI3BP,20_7,20_9,17,alternative_end,alt,alt,23,23,FALSE,3.6e-24,12,17,26,No
ABI3BP,20_7,20_9,18,alternative,alt,no,4,0,FALSE,3.6e-24,12,17,26,No
ABI3BP,20_7,21_0,17,alternative_end,alt,no,23,0,FALSE,1.9e-23,11,17,27,No
ABI3BP,20_7,21_0,18,alternative,alt,no,4,0,FALSE,1.9e-23,11,17,27,No
ABI3BP,20_7,21_0,8,alternative_start,no,alt,0,1,FALSE,1.9e-23,11,17,27,No
ABI3BP,20_7,21_0,10,insertion,no,alt,0,1,FALSE,1.9e-23,11,17,27,No
ABI3BP,20_7,23_0,17,alternative_end,alt,can,23,20,FALSE,2.9e-23,14,17,28,ALT
ABI3BP,20_7,23_0,18,alternative,alt,no,4,0,FALSE,2.9e-23,14,17,28,No
ABI3BP,20_7,24_1,17,alternative_end,alt,can,23,20,FALSE,2.3e-23,12,17,24,ALT
ABI3BP,20_7,24_1,18,alternative,alt,no,4,0,FALSE,2.3e-23,12,17,24,No
ABI3BP,20_7,25_0,17,alternative_end,alt,alt,23,23,FALSE,7.1e-25,16,17,18,No
ABI3BP,20_7,25_0,18,alternative,alt,alt,4,4,FALSE,7.1e-25,16,17,18,No
ABI3BP,20_7,25_1,17,alternative_end,alt,alt,23,23,FALSE,2.5e-25,16,17,21,No
